HOUR,TOTALLOAD,PRICE,WIND,SOLAR
191,47.71859229462874,34991.03842159917,0.1265,0.0
192,47.21309953678037,33384.632658359296,0.132,0.0
193,47.36925862673353,32553.73312564901,0.1405,0.0
194,47.863184044585374,32886.09293873313,0.1316,0.0
195,48.63241215435464,34012.423416407066,0.1197,0.0
196,49.87011753398339,34067.81671858775,0.115,0.0
197,51.831938397394936,43540.07139148494,0.1258,0.0
198,54.45309764060871,47232.95820353063,0.1367,0.0
199,55.93024695816563,59234.84034267913,0.1408,0.0116
200,54.79896110650496,59567.20015576324,0.1171,0.1009
201,52.88456633707919,50593.485202492215,0.1097,0.1582
202,50.67636113174156,38554.67419522326,0.1352,0.2116
203,48.46931266040357,34898.71625129803,0.1462,0.2224
204,46.394131865026026,33126.130581516096,0.128,0.2379
205,44.8799670594802,30079.498961578403,0.1213,0.1927
206,43.76140528181572,28214.591121495327,0.1418,0.1396
207,43.87013827778311,28140.73338525441,0.178,0.1175
208,44.84757850748992,29063.95508826584,0.2426,0.0255
209,48.68446518433903,45164.94158878505,0.26,0.0001
210,49.60753891606216,36782.08852544133,0.2947,0.0
211,49.84698285399033,33661.59916926272,0.3068,0.0
212,49.34958723413953,34474.03426791277,0.2984,0.0
213,47.93952848856248,35323.39823468328,0.3514,0.0
214,46.66018068494622,33569.27699896158,0.4043,0.0
215,44.87881032548055,30965.79179646937,0.3715,0.0
216,44.054058983727934,38333.10098650052,0.3248,0.0
217,43.4097581459212,37391.41484942887,0.3632,0.0
218,43.1043803700128,35785.00908618899,0.3678,0.0
219,43.23162110997463,35027.96728971963,0.3611,0.0
220,43.80536117380254,35120.289460020766,0.34,0.0
221,45.1090003914115,37243.69937694704,0.3103,0.0
222,46.92391603686711,40142.61552440291,0.2664,0.0
223,48.92969279226548,44906.43951194185,0.2629,0.0008
224,51.53697122748341,45921.98338525441,0.2573,0.0179
225,53.95223181875895,48691.64849428868,0.269,0.0575
226,55.57165941827319,50575.02076843198,0.2959,0.1103
227,57.14944459379993,47196.029335410174,0.2953,0.121
228,58.05516731552825,47768.426791277256,0.2813,0.1333
229,58.05632404952791,39662.54023883697,0.271,0.1669
230,58.17778111949148,38037.67004153687,0.2738,0.1556
231,58.26222270146615,40050.29335410176,0.2618,0.1174
232,59.225782123177126,43041.53167185877,0.2523,0.0533
233,61.393501638526914,84678.83047767394,0.2562,0.001
234,61.437457530513726,86303.70067497404,0.2491,0.0
235,60.73763346072364,78751.7471443406,0.2564,0.0
236,59.018726737239234,64755.70612668744,0.2646,0.0
237,56.71335587593074,54637.19626168224,0.2496,0.0
238,54.237945116673245,47214.493769470406,0.2382,0.0
239,52.13037576930542,40567.29750778816,0.2328,0.0
240,51.0372621396333,40493.43977154725,0.2258,0.0
241,50.505164499792905,38370.029854620974,0.198,0.0
242,50.322400527847726,39016.28504672897,0.1633,0.0
243,51.27323587556252,39459.43146417446,0.1477,0.0
244,53.08815152101813,40788.8707165109,0.1501,0.0
245,56.46350133200568,53713.97455867082,0.157,0.0
246,60.4010238668246,124820.5101246106,0.1419,0.0
247,61.9429502883621,116973.1256490135,0.1497,0.0052
248,61.71276022243114,90107.37409138108,0.1506,0.1677
249,60.44497975881142,71901.44210799584,0.1557,0.3167
250,59.13555687120419,53178.5059709242,0.1459,0.3914
251,57.20265435778397,47990.0,0.125,0.3898
252,55.2512441003693,42893.81619937695,0.1079,0.4086
253,53.60868182086199,37022.1261682243,0.101,0.4168
254,52.10145741931409,35120.289460020766,0.087,0.3958
255,51.84119226939216,35120.289460020766,0.0688,0.3244
256,52.99098586504727,40991.97949117342,0.0622,0.1344
257,56.944702675861336,78604.03167185877,0.0693,0.0005
258,58.34897775144013,93707.93873312564,0.0795,0.0
259,58.34319408144186,70128.85643821392,0.0859,0.0
260,57.83538785559418,62706.15394600207,0.0934,0.0
261,56.4507772580095,51055.09605399792,0.1052,0.0
262,54.07831582472113,43207.71157840084,0.1041,0.0
263,52.72840724712604,38000.741173416405,0.1329,0.0
264,52.3177666772492,38074.59890965732,0.1468,0.0
265,52.43691027921347,35711.15134994808,0.1507,0.0
266,53.055762969027846,36597.44418483904,0.1573,0.0
267,54.22637777667671,36892.8751298027,0.1669,0.0
268,56.2980883700553,38166.92107995846,0.1804,0.0
269,60.23792437287353,44814.117341640704,0.2124,0.0
270,64.44959286561021,108405.62824506748,0.2185,0.0
271,65.11355818141107,102441.6160436137,0.1948,0.0152
272,61.979965776350994,58551.65628245068,0.1818,0.3536
273,58.76308852331592,50076.48104880581,0.1272,0.6286
274,55.481434166300254,41139.694963655245,0.0941,0.633
275,53.04882256502993,39607.14693665628,0.0821,0.6245
276,50.77815372371102,36782.08852544133,0.0893,0.6499
277,49.22813016417595,34030.88785046729,0.0759,0.6675
278,48.21598791447955,31298.15160955348,0.0597,0.69
279,48.31546703844972,30762.683021806854,0.0532,0.6762
280,49.68619682803856,38203.84994807892,0.044,0.3577
281,53.4802843469005,64238.70197300104,0.0625,0.0039
282,54.5248151485872,59770.30893042575,0.1208,0.0
283,54.59421918856638,45109.54828660436,0.1999,0.0
284,54.11186111071106,38739.31853582554,0.2672,0.0
285,52.50053064919439,36486.65758047767,0.3157,0.0
286,50.23217527587479,35212.61163032191,0.3916,0.0
287,48.90540137827277,32165.980010384217,0.4328,0.0
288,48.48088000040009,29451.70820353064,0.47,0.0
289,48.73651821432342,28897.77518172378,0.4752,0.0
290,49.51384346209025,29137.81282450675,0.4652,0.0
291,50.89498385767598,30042.570093457944,0.4474,0.0
292,53.535807578883855,30781.14745586708,0.4308,0.0
293,57.55892842967711,35526.50700934579,0.4375,0.0
