HOUR,NGPRICE
0,2.4219999999999997
1,2.424
2,2.426
3,2.428
4,2.4299999999999997
5,2.432
6,2.434
7,2.436
8,2.4379999999999997
9,2.44
10,2.442
11,2.444
12,2.4459999999999997
13,2.448
14,2.45
15,2.452
16,2.4539999999999997
17,2.456
18,2.458
19,2.46
20,2.4619999999999997
21,2.464
22,2.466
23,2.468
24,2.4699999999999998
25,2.472
26,2.474
27,2.476
28,2.4779999999999998
29,2.48
30,2.482
31,2.484
32,2.4859999999999998
33,2.488
34,2.49
35,2.492
36,2.4939999999999998
37,2.496
38,2.498
39,2.5
40,2.502
41,2.504
42,2.5060000000000002
43,2.508
44,2.51
45,2.512
46,2.5140000000000002
47,2.516
48,2.518
49,2.52
50,2.5220000000000002
51,2.524
52,2.526
53,2.528
54,2.5300000000000002
55,2.532
56,2.534
57,2.536
58,2.5380000000000003
59,2.54
60,2.542
61,2.544
62,2.5460000000000003
63,2.548
64,2.55
65,2.552
66,2.5540000000000003
67,2.556
68,2.558
69,2.56
70,2.5620000000000003
71,2.564
72,2.566
73,2.568
74,2.5700000000000003
75,2.572
76,2.574
77,2.576
78,2.5780000000000003
79,2.58
80,2.582
81,2.584
82,2.5860000000000003
83,2.588
84,2.59
85,2.592
86,2.5940000000000003
87,2.596
88,2.598
89,2.6
90,2.6070833333333336
91,2.6141666666666667
92,2.62125
93,2.6283333333333334
94,2.635416666666667
95,2.6425
96,2.649583333333333
97,2.6566666666666667
98,2.6637500000000003
99,2.6708333333333334
100,2.6779166666666665
101,2.685
102,2.6920833333333336
103,2.6991666666666667
104,2.70625
105,2.7133333333333334
106,2.720416666666667
107,2.7275
108,2.734583333333333
109,2.7416666666666667
110,2.7487500000000002
111,2.7558333333333334
112,2.7629166666666665
113,2.77
114,2.7695833333333333
115,2.7691666666666666
116,2.76875
117,2.7683333333333335
118,2.767916666666667
119,2.7675
120,2.7670833333333333
121,2.7666666666666666
122,2.76625
123,2.765833333333333
124,2.7654166666666664
125,2.7649999999999997
126,2.7645833333333334
127,2.7641666666666667
128,2.76375
129,2.763333333333333
130,2.7629166666666665
131,2.7624999999999997
132,2.762083333333333
133,2.7616666666666667
134,2.76125
135,2.7608333333333333
136,2.7604166666666665
137,2.76
138,2.762083333333333
139,2.7641666666666667
140,2.76625
141,2.768333333333333
142,2.7704166666666663
143,2.7725
144,2.774583333333333
145,2.7766666666666664
146,2.77875
147,2.7808333333333333
148,2.7829166666666665
149,2.785
150,2.7870833333333334
151,2.7891666666666666
152,2.79125
153,2.7933333333333334
154,2.7954166666666667
155,2.7975
156,2.7995833333333335
157,2.8016666666666667
158,2.80375
159,2.805833333333333
160,2.807916666666667
161,2.81
162,2.8083333333333336
163,2.8066666666666666
164,2.805
165,2.8033333333333332
166,2.8016666666666667
167,2.8
168,2.7983333333333333
169,2.796666666666667
170,2.795
171,2.7933333333333334
172,2.7916666666666665
173,2.79
174,2.7883333333333336
175,2.7866666666666666
176,2.785
177,2.783333333333333
178,2.7816666666666667
179,2.7800000000000002
180,2.7783333333333333
181,2.776666666666667
182,2.775
183,2.7733333333333334
184,2.7716666666666665
185,2.77
186,2.7691666666666666
187,2.7683333333333335
188,2.7675
189,2.7666666666666666
190,2.765833333333333
191,2.765
192,2.7641666666666667
193,2.763333333333333
194,2.7625
195,2.7616666666666667
196,2.7608333333333333
197,2.76
198,2.7591666666666668
199,2.7583333333333333
200,2.7575
201,2.756666666666667
202,2.7558333333333334
203,2.755
204,2.754166666666667
205,2.7533333333333334
206,2.7525
207,2.7516666666666665
208,2.7508333333333335
209,2.75
210,2.7491666666666665
211,2.7483333333333335
212,2.7475
213,2.7466666666666666
214,2.745833333333333
215,2.745
216,2.7441666666666666
217,2.743333333333333
218,2.7425
219,2.7416666666666667
220,2.7408333333333332
221,2.74
222,2.7391666666666667
223,2.7383333333333333
224,2.7375
225,2.736666666666667
226,2.7358333333333333
227,2.735
228,2.734166666666667
229,2.7333333333333334
230,2.7325
231,2.7316666666666665
232,2.7308333333333334
233,2.73
234,2.7291666666666665
235,2.7283333333333335
236,2.7275
237,2.7266666666666666
238,2.725833333333333
239,2.725
240,2.7241666666666666
241,2.723333333333333
242,2.7225
243,2.7216666666666667
244,2.720833333333333
245,2.7199999999999998
246,2.7191666666666667
247,2.7183333333333333
248,2.7175
249,2.716666666666667
250,2.7158333333333333
251,2.715
252,2.714166666666667
253,2.7133333333333334
254,2.7125
255,2.7116666666666664
256,2.7108333333333334
257,2.71
258,2.7175
259,2.725
260,2.7325
261,2.74
262,2.7475
263,2.755
264,2.7625
265,2.77
266,2.7775
267,2.785
268,2.7925
269,2.8
270,2.8075
271,2.815
272,2.8225000000000002
273,2.83
274,2.8375
275,2.845
276,2.8525
277,2.8600000000000003
278,2.8675
279,2.875
280,2.8825000000000003
281,2.89
282,2.8870833333333334
283,2.8841666666666668
284,2.88125
285,2.8783333333333334
286,2.8754166666666667
287,2.8725
288,2.8695833333333334
289,2.8666666666666667
290,2.86375
291,2.8608333333333333
292,2.8579166666666667
293,2.855
294,2.8520833333333333
295,2.8491666666666666
296,2.84625
297,2.8433333333333333
298,2.8404166666666666
299,2.8375
300,2.8345833333333332
301,2.8316666666666666
302,2.82875
303,2.825833333333333
304,2.8229166666666665
305,2.82
306,2.82
307,2.82
308,2.82
309,2.82
310,2.82
311,2.82
312,2.82
313,2.82
314,2.82
315,2.82
316,2.82
317,2.82
318,2.82
319,2.82
320,2.82
321,2.82
322,2.82
323,2.82
324,2.82
325,2.82
326,2.82
327,2.82
328,2.82
329,2.82
330,2.8216666666666663
331,2.8233333333333333
332,2.8249999999999997
333,2.8266666666666667
334,2.828333333333333
335,2.83
336,2.8316666666666666
337,2.833333333333333
338,2.835
339,2.8366666666666664
340,2.8383333333333334
341,2.84
342,2.8416666666666663
343,2.8433333333333333
344,2.8449999999999998
345,2.8466666666666667
346,2.848333333333333
347,2.8499999999999996
348,2.8516666666666666
349,2.853333333333333
350,2.855
351,2.8566666666666665
352,2.8583333333333334
353,2.86
354,2.8578125
355,2.855625
