HOUR,TOTALLOAD,NGPRICE,WIND,PRICE
0,86.37012428810402,5.1509374999999995,0.2649813160772876,76.71818862275448
1,85.36862507771168,5.1775,0.2640471199416697,67.07619760479042
2,84.67527947051698,5.2040625,0.2538279256288734,68.25845808383234
3,84.40578379233035,5.230625,0.2466961356179365,67.28637724550897
4,84.60268025727864,5.2571875,0.2409770324462267,67.52282934131736
5,85.2678185268457,5.2837499999999995,0.236824416697047,68.20591317365269
6,86.85260848614787,5.3103125,0.2291799580751002,73.48667664670657
7,88.58472398263305,5.336875,0.2109574371126503,98.62941616766466
8,89.48578657445617,5.3634375,0.2114416241341596,100.86257485029938
9,90.41080228249425,5.39,0.197502734232592,111.92327844311376
10,90.97800097649515,5.4165624999999995,0.1796162960262486,114.41916167664668
11,90.82817839630904,5.443125,0.1615817535545023,106.9577844311377
12,90.10542317152226,5.4696875,0.1528436018957345,99.91676646706586
13,88.64298831937211,5.49625,0.1468396828290193,91.66721556886226
14,87.21726924767496,5.5228125,0.1424478217280349,80.29124251497005
15,86.35153519019204,5.5493749999999995,0.1425845333576376,74.59011976047904
16,87.03313544696474,5.5759375,0.148594148742253,80.37005988023952
17,90.92167878431408,5.6025,0.1580329475027342,111.13510479041916
18,96.01000504311692,5.6290625,0.1742560608822456,161.5782185628742
19,97.24372925279776,5.655625,0.1900747356908494,144.42230538922152
20,96.67653055879686,5.6821875,0.1961925811155668,129.3156437125748
21,95.5819008926962,5.70875,0.2114985873131607,112.44872754491016
22,93.45155327875332,5.7353125,0.2287185563251913,110.55711077844308
23,90.73597277134265,5.761875,0.2528082847247539,92.29775449101795
24,88.59166021319722,5.7884375,0.3128873496172074,99.73285928143711
25,87.40038573456914,5.815,0.3322491341596791,89.74932634730538
26,86.93491842217605,5.8415625,0.3472874134159678,88.72470059880239
27,86.91586690889312,5.868125,0.3799159223477943,90.77395209580835
28,87.84504435526969,5.8946875,0.39896440940576,100.46848802395208
29,90.02561027849717,5.921250000000001,0.4157457619394822,106.51115269461076
30,94.0888541429895,5.9478125,0.4897637167335034,122.61616766467064
31,98.88539630272616,5.974375,0.5042038826102807,213.3875
32,101.13902385456292,6.0009375,0.5220333576376229,187.351497005988
33,101.17943895798352,6.0275,0.533386119212541,176.57979041916164
