HOUR,TOTALLOAD,PRICE,WIND
0,72.6050380200319,50651.28020194735,0.5395508555771452
1,71.13768795661711,46974.19761990625,0.5829833719857807
2,70.18016200030651,44759.087630724855,0.6069046105355529
3,69.3577334319924,42765.48864046159,0.6106071866689351
4,69.10063515081904,43385.7194374324,0.5987607338890929
5,69.82242420037534,45600.829426613775,0.6025573294889819
6,71.1702361377666,49898.142805625685,0.5942298910269612
7,72.73001301761,59113.00036062026,0.5740604769025511
8,73.53017232700363,60220.55535521096,0.5886916967379723
9,74.07252374434918,58758.582762351245,0.5892155194799381
10,74.13281979778992,57651.02776776056,0.5760662255213603
11,73.81997532113705,55303.01117922827,0.5711772132630129
12,73.21505292137014,50651.28020194735,0.5852174535946776
13,72.05723929567768,47461.52181752615,0.579303181439662
14,70.80017406661469,45822.34042553192,0.558506970871874
15,70.40886541103815,45866.64262531555,0.5668209779815364
16,71.2493681857488,47550.1262170934,0.5613544175717906
17,74.47829593922458,62435.66534439235,0.5890319576643774
18,78.37710679386372,69302.50631085467,0.6481030453352914
19,78.33246392148236,64252.055535521096,0.6752254228637434
20,77.25764346176675,57828.23656689506,0.6848512253870469
21,75.7333366902039,51493.02199783628,0.6804636502834016
22,73.10205782502946,46176.75802380093,0.6636431200136105
23,70.08570027034014,41037.70284890012,0.6460704340117659
24,67.4135144253305,39752.9390551749,0.5946283544802514
25,65.74738983336964,36873.2960692391,0.5323247880084886
26,64.58470285064068,36297.367472051934,0.5116987079039033
27,64.39578982616199,35854.345474215654,0.5133194244217802
28,64.82629404711122,38955.4994590696,0.5114256037392886
29,66.88992595434814,46176.75802380093,0.5263299277393243
30,70.74763155552534,56942.192571222506,0.5023504866626671
31,75.57820323045135,68992.39091236927,0.4582016314615997
32,78.31932568484652,72580.8690948431,0.4585060754483833
33,78.88363329749136,72226.4514965741,0.4608386536412396
34,79.09573390084601,74574.46808510636,0.4370964997895755
35,79.06434405509495,73378.30869094841,0.3885958864244844
36,78.9431362564251,70498.66570501261,0.3886048406593898
37,78.67160574231498,68239.25351604758,0.3922984625578667
38,78.42849096955466,66777.28092318788,0.377868713007817
39,78.00981011803229,65979.84132708258,0.3398714171867584
40,78.04672031897032,70853.08330328163,0.3019502323623958
41,79.96846135763094,91453.60620266855,0.2588669311150708
42,82.12804726476188,95618.0129823296,0.2320803373955712
43,81.91526835689466,82371.65524702487,0.227930049516919
44,80.47838981927548,75549.11648034619,0.2203905837265735
45,78.41208643580443,66688.67652362063,0.2138898091852541
46,75.2903203598612,58847.1871619185,0.207133838949131
47,71.92237148767,51493.02199783628,0.1885627557553345
48,68.87598069625474,46752.6866209881,0.1780952551509236
49,66.47514796263658,43164.20843851426,0.1798816250145506
50,65.17289721758216,40683.28525063109,0.1617358679787605
51,64.43188606168493,40328.86765236208,0.1405143312529661
52,64.50857621342189,43119.90623873062,0.1326883299456478
53,66.45002982476328,47815.93941579517,0.1297200010745082
54,70.28639492242952,57562.42336819328,0.1469255634452314
55,74.87196300741407,72315.05589614136,0.1662756650757976
56,77.90523643310156,74751.67688424088,0.1623760957744965
57,78.74648012504903,70853.08330328163,0.1590406432722356
58,79.51275551517611,70011.34150739272,0.1750149983434665
59,79.85127120876635,68106.34691669671,0.1995764646889746
60,79.74154240954006,60973.69275153264,0.2206771192435462
61,79.60672677880261,57296.61016949152,0.2780916734569614
62,79.4418466049771,56809.28597187161,0.3022188594095578
63,78.8704115772232,56277.65957446808,0.3427099096517698
64,78.73759955366135,56676.37937252073,0.3381745896721855
65,79.95367431925682,65581.12152902993,0.3536654160585248
66,81.68742065339426,68283.55571583123,0.3873109537155598
67,81.36736527800004,64739.379733141,0.3988574396260711
68,80.1617468373522,58094.04976559682,0.4019108337288121
69,78.280704069446,53708.13198701768,0.394080355304041
70,76.0999133197066,49986.74720519293,0.405156743882019
71,73.01343994932527,47417.21961774252,0.4102472264257381
72,70.09234765456335,46309.66462315182,0.3867244513292562
73,68.12788386706465,42366.76884240895,0.3789969466058972
74,66.69689092552382,41214.91164803463,0.3665057889128664
75,66.22038722316807,40063.0544536603,0.3690532687434522
76,66.3219033200652,40284.565452578434,0.3559532230768542
77,67.27511943385747,42056.65344392356,0.3305948298247657
78,69.21264931447999,48967.79661016949,0.285214767324206
79,71.79523635110569,55258.70897944464,0.2370991860600471
80,74.36309896208155,58315.560764514965,0.1993526088163397
81,76.4542595970749,61372.41254958529,0.1745896721854601
82,77.744029539098,64739.379733141,0.1774460731202822
83,77.69653778776382,63454.61593941579,0.2023522775096481
84,77.1962412501978,57385.21456905877,0.1995809418064273
85,76.29871915461483,53663.82978723404,0.2193384611251891
86,75.41144467489873,49986.74720519293,0.2486546262054638
87,74.88629088581041,48480.47241254959,0.3067228395669732
88,75.48816613299778,49632.3296069239,0.3777388766016888
89,77.64771029831257,60486.36855391272,0.4334521261830783
90,80.69757609592301,65093.79733141003,0.5077767530153386
91,80.96117566496305,58581.37396321672,0.5413506567931303
92,80.53054621856535,56189.05517490082,0.569981822903142
93,79.36283978244334,52246.15939415795,0.5819446807367545
94,77.4997668663933,47727.33501622791,0.5807940615514108
95,75.08088079728664,45467.9228272629,0.5721039765757215
96,72.77246444464308,39797.241254958535,0.5613141235147163
97,71.04478110930266,37626.43346556077,0.5510794330178458
98,69.95650934933,33949.350883519655,0.540240331664861
99,69.64245436000856,33816.44428416877,0.5682223157442313
100,69.8104756055,34525.27948070681,0.5810179174240457
101,70.57350556942075,37493.52686620989,0.5878902927139391
102,72.10346835707306,39620.03245582403,0.5809597148971607
